code_iata,code_oaci,name,iso_country,latitude_deg,longitude_deg
ZOS,SCJO,Cañal Bajo Carlos Hott Siebert Airport,CL,-40.611198,-73.060997
CPP,SCKP,Coposa Airport,CL,-20.7505,-68.683502
VLR,SCLL,Vallenar Airport,CL,-28.596399,-70.755997
ZLR,SCLN,Municipal de Linares Airport,CL,-35.861698,-71.548599
PNT,SCNT,Lieutenant Julio Gallardo Airport,CL,-51.67067,-72.529078
OVL,SCOV,El Tuqui Airport,CL,-30.5592,-71.175598
ZPC,SCPC,Pucón Airport,CL,-39.292801,-71.915901
MHC,SCPQ,Mocopulli Airport,CL,-42.340388,-73.715693
PUX,SCPV,El Mirador Airport,CL,-41.3494,-72.946701
ZCO,SCQP,La Araucanía Airport,CL,-38.9259,-72.6515
CNR,SCRA,Chañaral Airport,CL,-26.3325,-70.6073
VAP,SCRD,Rodelillo Airport,CL,-33.0681,-71.557503
TNM,SCRM,Teniente Rodolfo Marsh Martin Airport,AQ,-62.191026,-58.98669
SMB,SCSB,Franco Bianco Airport,CL,-52.736698,-69.333603
LSC,SCSE,La Florida Airport,CL,-29.916201,-71.199501
SSD,SCSF,Víctor Lafón Airport,CL,-32.7458,-70.705002
WCA,SCST,Gamboa Airport,CL,-42.490299,-73.772797
PZS,SCTC,Maquehue Airport,CL,-38.766799926758,-72.637100219727
PMC,SCTE,El Tepual Airport,CL,-41.43889999389648,-73.09400177001953
TLX,SCTL,Panguilemo Airport,CL,-35.3778,-71.6017
WCH,SCTN,Nuevo Chaitén Airport,CL,-42.781943,-72.834999
ZIC,SCTO,Victoria Airport,CL,-38.245602,-72.348602
TTC,SCTT,Las Breas Airport,CL,-25.564301,-70.3759
ZAL,SCVD,Pichoy Airport,CL,-39.6500015259,-73.0860977173
KNA,SCVM,Viña del Mar Airport,CL,-32.9496,-71.4786
BVM,SD6P,Belmonte Airport,BR,-15.8717,-38.871899
GDR,SDAG,Angra dos Reis Airport,BR,-22.9753,-44.307098
OLC,SDCG,Senadora Eunice Micheles Airport,BR,-3.46907,-68.921056
SOD,SDCO,Sorocaba Airport,BR,-23.478001,-47.490002
JTN,SDIM,Itanhaém Airport,BR,-24.159729,-46.790604
FEC,SDIY,João Durval Carneiro Airport,BR,-12.200694,-38.906164
JLS,SDJL,Jales Airport,BR,-20.292296,-50.545546
PBA,SDLO,Fábio Perini Airport,BR,-13.5648,-38.939999
JMR,SDMC,Maricá Airport,BR,-22.9195,-42.830898
NVM,SDNM,Brigadeiro Eduardo Gomes Airport,BR,-13.821021,-56.038591
OUS,SDOU,Jornalista Benedito Pimentel Airport,BR,-22.966598,-49.912049
OIA,SDOW,Ourilândia do Norte Airport,BR,-6.762992,-51.04993
REZ,SDRS,Resende Airport,BR,-22.4785,-44.480301
QSC,SDSC,Mário Pereira Lopes–São Carlos Airport,BR,-21.875032,-47.903851
JPY,SDTK,Paraty Airport,BR,-23.224044,-44.7234
UBT,SDUB,Ubatuba Gastão Madeira State Airport,BR,-23.440628,-45.074057
ITP,SDUN,Itaperuna Airport,BR,-21.2192993164,-41.8759002686
VOT,SDVG,Domingos Pignatari Airport,BR,-20.458426,-50.003134
JTA,SDZG,Pedro Teixeira Castelo Airport,BR,-5.9334,-40.2975
ATF,SEAM,Chachoán Regional Airport,EC,-1.21207,-78.5746
OCC,SECO,Francisco De Orellana Airport,EC,-0.462886,-76.986801
CUE,SECU,Mariscal Lamar Airport,EC,-2.88947,-78.984398
GPS,SEGS,Seymour Galapagos Ecological Airport,EC,-0.453758,-90.2659
GYE,SEGU,José Joaquín de Olmedo International Airport,EC,-2.15742,-79.883598
IBB,SEII,General Villamil Airport,EC,-0.942628,-90.953003
